PLAYER_NAME,GP,G,AVG_SEAS_ADJ_GPG,ADJ_G,ADJ_GPG,A,AVG_SEAS_ADJ_APG,ADJ_A,ADJ_APG,PTS,AVG_SEAS_ADJ_PTSPG,ADJ_PTS,ADJ_PTSPG
Alexandre Boikov,10,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Bolduc,65,2,0.015399947,2.217592416,0.034116806,3,0.038592268,3.1175878,0.047962889,5,0.054340216,5.332233375,0.08203436
Alexandre Burrows,913,205,0.243712666,227.2314673,0.248884411,204,0.230514075,215.1268929,0.235626389,409,0.470909945,439.2749028,0.481133519
Alexandre Carrier,5,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Daigle,616,129,0.211084196,137.886311,0.223841414,198,0.32215866,204.723274,0.332342977,327,0.533361726,342.6102499,0.556185471
Alexandre Fortin,24,3,0.127102847,3.050468318,0.127102847,3,0.12322493,2.957398331,0.12322493,6,0.249344016,5.984256393,0.249344016
Alexandre Giroux,48,6,0.118241931,6.512311483,0.135673156,6,0.110785673,6.101291864,0.127110247,12,0.227322276,12.51956393,0.260824249
Alexandre Grenier,9,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Picard,320,19,0.058725885,20.60686941,0.064396467,52,0.150628354,52.96364397,0.165511387,71,0.210495,74.01350836,0.231292214
Alexandre Texier,38,7,0.338979351,7.125089479,0.187502355,7,0.096363012,6.938136888,0.18258255,14,0.430068231,14.01369534,0.368781456
Alexandre Volchkov,3,0,0,0,0,0,0,0,0,0,0,0,0
Alexei Emelin,456,15,0.041706516,16.92099471,0.037107445,66,0.165171387,71.0393719,0.155788096,81,0.208345743,88.58433212,0.194263886
Alexei Gusarov,607,39,0.061840944,37.6358356,0.062003024,128,0.188693356,121.0061607,0.199351171,167,0.251232004,159.1061131,0.262118802
Alexei Kaigorodov,6,0,0,0,0,1,0.164087296,0.984523777,0.164087296,1,0.16822607,1.009356421,0.16822607
Alexei Kasatonov,383,38,0.081779378,33.43634271,0.087301156,122,0.250580057,106.3883168,0.277776284,160,0.333213995,140.2139094,0.366093758
Alexei Kudashov,25,1,0.03738302,0.934575507,0.03738302,0,0,0,0,1,0.036952749,0.923818721,0.036952749
Alexei Mikhnov,2,0,0,0,0,0,0,0,0,0,0,0,0
Alexei Ponikarovsky,678,139,0.1963312,151.1346597,0.222912477,184,0.242377492,190.8306787,0.281461178,323,0.437247551,340.7420841,0.502569446
Alexei Semenov,211,7,0.037281749,7.685527392,0.0364243,26,0.132415562,26.97878531,0.127861542,33,0.171271072,34.97247528,0.165746328
Alexei Smirnov,52,3,0.038937754,3.426522312,0.06589466,3,0.095736913,3.320670418,0.063859046,6,0.135026166,6.7020093,0.128884794
Alexei Tezikov,30,1,0.015999953,1.10399674,0.036799891,1,0.01549953,1.069467549,0.035648918,2,0.031372349,2.164692052,0.072156402
Alexei Vasiliev,1,0,0,0,0,0,0,0,0,0,0,0,0
Alexei Yashin,850,337,0.422960176,365.8922659,0.430461489,444,0.539234242,464.0222437,0.545908522,781,0.960501211,828.3970068,0.974584714
Alexei Yegorov,11,3,0.16073381,2.893208572,0.263018961,3,0.361895058,2.920027029,0.265457003,6,0.522724069,5.798755109,0.527159555
